time_sec,distance_m,avg_speed_mps,battery_remaining,altitude_diff_m
2.11,50.1,23.73,0,6.87
8.31,186.73,22.46,1.4,6.89
3.98,92.01,23.11,0,7.02
4.41,98.0,22.23,0,8.11
7.74,146.01,18.87,0,6.89
11.97,270.97,22.63,0,7.71
1.84,40.81,22.16,0.4,7.16
10.43,234.0,22.45,0,7.15
9.63,218.6,22.71,0.6,7.16
4.47,101.2,22.66,0,6.92
5.01,115.16,22.97,0.2,7.05
3.57,82.05,23.0,0.2,7.01
2.23,52.03,23.34,0.8,6.77
7.22,162.38,22.48,0,6.92
12.72,252.71,19.88,0.2,6.96
5.16,114.88,22.28,0.4,7.05
11.25,254.17,22.58,0.6,7.1
6.85,156.11,22.79,0,7.14
1.4,33.0,23.54,0.2,7.43
4.76,106.76,22.41,1.0,7.08
8.59,196.23,22.85,0,6.9
12.53,143.79,11.47,0.2,nan
