"Distance,Distance traveled,Time,Avg Speed,Result"
"88.08,90.89,120.58,1.14,Success"
"39.36,41.4,56.78,1.36,Success"
"148.35,160.47,153.36,1.06,Success"
"121.34,125.18,130.37,1.41,Success"
"133.20,139.18,156.91,1.06,Success"
"95.78,30.32,50.79,0.81,Failure"
"144.59,155.27,163.11,0.99,Success"
"96.85,100.75,126.92,1.05,Success"
"137.01,138.41,176.31,1.04,Success"
"21.89,24.39,40.96,1.63,Success"
"151.86,162.36,174.27,0.94,Success"
"40.39,43.27,43.01,1.59,Success"
"84.94,87.55,99.68,1.42,Success"
"35.82,20.97,23.52,0.79,Failure"
"82.89,51.85,53.46,0.92,Failure"
"11.72,2.19,13.25,0.63,Failure"
"134.01,137.32,153.57,1.35,Success"
"140.69,152.02,166.12,1.10,Success"
"72.45,75.03,80.71,1.30,Success"
"163.64,172.61,221.05,0.83,Success"
"67.27,29.79,43.67,0.78,Failure"
"111.13,134.9,265.57,1.02,Success"
"14.43,4.63,15.14,0.96,Failure"
"190.79,196.9,124.97,1.13,Success"
"148.37,175.97,203.92,1.08,Success"
"16.67,16.76,46.42,1.61,Success"
"59.96,66.42,103.32,0.85,Success"
"155.57,167.77,181.53,0.96,Success"
"56.26,62.95,109.61,1.21,Success"
"73.05,56.05,84.48,1.00,Failure"
"23.42,29.12,94.86,0.95,Success"
"103.34,108.29,134.94,1.22,Success"
"86.48,123.48,213.48,0.80,Success"
"64.71,40.52,73.56,0.72,Failure"
"93.59,94.16,124.49,1.13,Success"
"24.35,27.24,95.08,1.27,Success"
"162.25,179.16,198.04,0.91,Success"
"108.25,117.87,159.67,0.85,Success"
"84.78,8.33,42.63,0.69,Failure"
"186.56,126.33,287.5,1.05,Failure"
"40.84,47.65,109.49,0.89,Success"
"182.51,188.8,226.56,1.15,Success"
"30.3,34.82,66.42,1.08,Success"
"87.99,94.09,133.38,0.95,Success"
"28.74,38.05,59.39,1.26,Success"
"89.03,100.75,144.98,1.10,Success"
"62.33,64.45,80.16,1.39,Success"
"122.47,126.22,184.06,0.99,Success"
"179.41,197.51,236.44,0.88,Success"
"77.12,73.73,98.46,0.88,Failure"
"13.29,14.51,30.92,1.35,Success"
"116.97,110.45,134.06,0.74,Failure"
"108.08,116.76,192.42,0.98,Success"
"84.63,95.31,136.24,0.68,Success"
"52.95,59.98,88.29,1.35,Success"
"21.65,25.25,54.52,1.24,Success"
"89.68,30.83,46.27,0.85,Failure"
"153.41,154.37,133.56,1.02,Success"
"72.92,80.89,145.93,1.10,Success"
"66.73,69.41,108.49,0.95,Success"
"108.65,111.06,139.93,0.79,Success"
"38.54,40.72,67.98,1.47,Success"
"183.84,195.17,214.48,1.01,Success"
"45.69,62.29,89.87,0.99,Success"
"90.29,22.76,42.31,1.02,Failure"
"67.21,82.84,130.57,0.70,Success"
"181.91,195.16,251.91,0.87,Success"
"20.42,21.36,48.38,1.23,Success"
"76.82,80.72,98.42,1.04,Success"
"36.37,37.62,47.31,1.61,Success"
"143.18,148.67,209.89,1.03,Success"
"35.44,41.86,66.37,0.64,Success"
"27.83,5.78,36.92,0.84,Success"
"80.05,81.14,62.62,1.29,Success"
"10.25,10.64,43.35,0.67,Success"
"15.59,18.95,41.44,0.94,Success"
"188.08,126.72,189.12,0.81,Failure"
"50.96,52.17,69.52,1.32,Success"
"170.66,189.45,241.36,0.74,Success"
"44.35,49.12,101.63,0.59,Success"
"22.44,30.55,52.97,0.93,Success"
"166.22,179.76,201.92,1.05,Success"
"80.38,89.37,162.15,0.76,Success"
"13.57,6.59,38.22,0.55,Failure"
"30.55,28.72,53.81,0.88,Failure"
"100.41,105.33,141.31,1.05,Success"
"77.06,79.62,104.89,0.93,Success"
"62.33,67.13,140.29,0.59,Success"
"71.05,76.02,55.03,1.17,Success"
"94.62,107.96,150.84,1.02,Success"
"68.48,31.15,64.97,0.55,Failure"
"29.97,16.37,44.81,0.74,Failure"
"153.42,160.14,178.88,1.09,Success"
"149.48,157.8,177.75,1.11,Success"
"29.45,31.51,55.91,0.79,Success"
"65.67,80.02,107.81,0.98,Success"
"139.84,87.19,170.73,1.01,Failure"
"76.69,81.44,102.27,0.94,Success"
"153.23,159.17,180.98,1.01,Success"
"81.27,91.01,144.87,0.92,Success"
